Modified or unmodified,Modified material type,Cross-linked or uncross-linked,Cross-linking agent type,Adsorbent dosage (g/L) ,Reactor temperature (℃),Initial P concentration (mg/L),Reaction time (min),Solution pH,Pore volume (cm³/g),BET surface area (m²/g),P adsorption capacity (mg/g)
1,1,1,1,1.0,25.0,50.0,120.0,5.3,0.412,105.53,3.65
1,1,1,1,1.0,25.0,50.0,400.0,5.3,0.412,105.53,4.5
1,1,1,1,1.0,25.0,100.0,400.0,5.3,0.412,105.53,8.5
1,1,1,1,1.0,25.0,200.0,400.0,5.3,0.412,105.53,15.2
1,1,1,1,1.0,25.0,300.0,400.0,5.3,0.412,105.53,20.8
1,1,1,1,1.0,25.0,400.0,400.0,5.3,0.412,105.53,23.5
1,1,1,1,1.0,25.0,500.0,400.0,5.3,0.412,105.53,24.2
1,1,1,1,1.0,35.0,50.0,400.0,5.3,0.412,105.53,5.2
1,1,1,1,1.0,35.0,100.0,400.0,5.3,0.412,105.53,10.5
1,1,1,1,1.0,35.0,200.0,400.0,5.3,0.412,105.53,18.8
1,1,1,1,1.0,35.0,300.0,400.0,5.3,0.412,105.53,24.5
1,1,1,1,1.0,35.0,400.0,400.0,5.3,0.412,105.53,26.8
1,1,1,1,1.0,35.0,500.0,400.0,5.3,0.412,105.53,27.5
1,1,1,1,1.0,45.0,50.0,400.0,5.3,0.412,105.53,6.1
1,1,1,1,1.0,45.0,100.0,400.0,5.3,0.412,105.53,12.2
1,1,1,1,1.0,45.0,200.0,400.0,5.3,0.412,105.53,21.5
1,1,1,1,1.0,45.0,300.0,400.0,5.3,0.412,105.53,28.2
1,1,1,1,1.0,45.0,400.0,400.0,5.3,0.412,105.53,30.5
1,1,1,1,1.0,45.0,500.0,400.0,5.3,0.412,105.53,31.2
1,1,1,1,1.0,25.0,100.0,720.0,5.4,9.223,114.4,20.3
1,1,1,1,1.0,25.0,50.0,720.0,5.4,9.223,114.4,25.0
1,1,1,1,1.0,35.0,100.0,720.0,5.4,9.223,114.4,22.5
1,1,1,1,1.0,45.0,100.0,720.0,5.4,9.223,114.4,24.0
1,2,1,1,1.0,25.0,50.0,30.0,5.3,0.523,108.18,35.2
1,2,1,1,1.0,25.0,50.0,60.0,5.3,0.523,108.18,52.8
