feature,importance
Initial P concentration (mg/L),36.98611093226766
Adsorbent dosage (g/L) ,8.671330851763651
Reaction time (min),8.565786556388746
Solution pH,8.297788246729798
Modified or unmodified,5.933066351035322
Pore volume (cm³/g),5.481549170958818
Modified material type_1,3.7553486203546353
Modified material type_12,3.714432052745822
BET surface area (m²/g),2.8838684871640337
Reactor temperature (℃),2.8003341763772434
Cross-linking agent type_3,2.686075578490452
Cross-linking agent type_1,2.077140202176288
Cross-linked or uncross-linked,1.7100634957582956
Cross-linking agent type_2,1.3840024326105589
Modified material type_28,1.08393520442434
Modified material type_18,0.7917419483283842
Modified material type_6,0.5653477343149248
Modified material type_8,0.5093097168519437
Modified material type_10,0.4968772676620943
Modified material type_2,0.26630767585227033
Modified material type_20,0.2245709111752949
Modified material type_22,0.19867629898527325
Modified material type_9,0.17264582487981375
Modified material type_15,0.1436553385824149
Modified material type_5,0.13740398939816623
Modified material type_19,0.057726823445515496
Modified material type_11,0.0553017279042883
Modified material type_3,0.051025229490303164
Modified material type_4,0.05046179352507536
Modified material type_17,0.045811276951603856
Modified material type_14,0.03847885373968527
Modified material type_7,0.034051083747116934
Modified material type_29,0.03265956328355602
Modified material type_26,0.029718617846897347
Cross-linking agent type_4,0.027310468262085583
Modified material type_23,0.0237407903512241
Modified material type_30,0.006689112069337633
Modified material type_13,0.0027585823894897502
Modified material type_21,0.0025831627248447753
Modified material type_27,0.002342460416523951
Modified material type_16,0.0010643452042181539
Modified material type_24,0.0005384627110689038
Modified material type_25,0.0003685806609078299
