scenario,initial_p_constraint_mg_l,predicted_p_mean_mg_g,predicted_p_lower_95_mg_g,predicted_p_upper_95_mg_g,energy_proxy_mean
10th percentile,9.3,89.25561746862147,89.22115032672082,89.29008461052211,0.046678001531090876
20th percentile,10.0,90.58977916777111,90.5415251691102,90.6104594529115,0.046665185534082984
30th percentile,20.0,102.80157907222429,102.72228462242778,102.82140268467342,0.04688799327456369
40th percentile,47.76000000000002,130.3089887196108,130.3089887196108,130.3089887196108,0.04665135050826494
50th percentile,50.0,135.18727605512987,117.65330320351063,137.8118521975761,0.04206479912015243
60th percentile,50.0,137.75219727026848,137.4957125012409,137.8118521975761,0.046695968504472385
70th percentile,100.0,147.44864762107056,144.5875858822073,155.5440249548166,0.006877421006340726
80th percentile,100.0,145.33518880069332,140.44395211645528,151.3570036653253,0.004675669905464181
90th percentile,150.0,175.21330864549174,161.66595323745494,182.43739237520722,0.009336882915415122
100th percentile,500.0,190.78487033743485,186.25409726810747,195.11477844921674,0.005978406128704031
Practical range (≤500 mg/L),Practical range (≤500 mg/L),185.50710507061453,167.06169468701532,193.1056717098895,0.010199778808692935
